Year,j_new_construction,j_renovation,j_occupancy,ownerType,j_zip,valuation,Number_ParID,j_parcel_id,Long,Lat
2017,FALSE,TRUE,1-2FAM,*,2132,500,2010717000,2010717000,-71.16941012,42.26926723
2015,FALSE,FALSE,Other,b,2124,90,1701717000,1701717000,-71.07467925,42.28687108
2016,FALSE,TRUE,1-2FAM,*,2131,5500,1904265000,1904265000,-71.11682878,42.28843911
2019,FALSE,TRUE,1-2FAM,c,2131,8000,1806538000,1806538000,-71.11840931,42.28629752
2013,FALSE,FALSE,Comm,c,2124,2000,1704064000,1704064000,-71.06825218,42.27271713
2013,FALSE,FALSE,1-2FAM,*,2132,1500,2006123000,2006123000,-71.15216682,42.29193365
2015,FALSE,FALSE,Comm,*,2132,1200,2006297000,2006297000,-71.15544663,42.28968534
2010,FALSE,TRUE,1-2FAM,t,2131,5280,2005135000,2005135000,-71.13338538,42.29259306
2022,FALSE,TRUE,Comm,c,2130,742,1901316000,1901316000,-71.11428152,42.31082491
2021,FALSE,TRUE,1-2FAM,*,2132,188500,2006234000,2006234000,-71.14638007,42.28929153
2011,FALSE,TRUE,1-2FAM,*,2131,4750,2000022000,2000022000,-71.128222,42.28801227
2018,FALSE,FALSE,1-2FAM,*,2131,500,1903904000,1903904000,-71.12068708,42.28700533
2021,FALSE,TRUE,1-2FAM,*,2125,9000,1302136000,1302136000,-71.05770463,42.31389012
